From Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Temp (degree C),RH (%),WS (m/s),WD (deg),SR (W/mt2),BP (mmHg)
01-03-2022,34.76666667,67.74809524,7.333333333,15.76166667,23.05833333,44.57666667,0.87,0.929583333,0.966521739,30.77395833,71.34625,1.368333333,244.7704167,216.1291667,1007.387778
02-03-2022,33.38541667,96.72208333,7.492916667,15.66916667,23.16208333,45.81625,9.139090909,0.749166667,2.09826087,30.67197917,75.83833333,1.55625,244.1520833,216.0975,1008.097049
03-03-2022,21.87833333,70.58958333,7.502083333,15.86,23.36208333,46.31791667,15.45142857,0.712083333,15.69958333,30.13782407,80.19291667,1.957083333,243.5195833,188.79125,1005.541042
04-03-2022,19.81782609,67.87782609,6.423043478,16.02791667,20.63083333,39.82478261,4.590869565,0.545217391,24.87869565,29.41027778,72.77043478,2.209565217,244.5217391,192.2756522,1005.104306
05-03-2022,19.73619048,50.44416667,7.67,15.41541667,23.08416667,45.69041667,3,0.667916667,23.83958333,30.67396564,73.42666667,2.022916667,240.0491667,201.1916667,1006.17875
06-03-2022,12.30642857,43.32,7.300833333,15.59875,22.89875,44.94916667,3,0.689166667,36.28458333,30.38346591,58.51666667,2.39125,260.6183333,195.60375,1004.147396
07-03-2022,19.73,60.87625,7.627916667,15.66291667,23.28958333,46.58,3,0.882083333,27.159375,31.23965804,67.50416667,1.734166667,269.6808333,202.53,1008.941349
08-03-2022,25.71875,71.85625,7.735833333,15.76541667,23.49875,46.66041667,3,0.690833333,27.46916667,30.77395833,74.84583333,0.892916667,245.1575,218.9325,1008.874063
09-03-2022,30.39375,84.4425,7.832083333,15.32958333,23.15958333,46.9325,3.5325,0.5725,30.91291667,30.8449752,71.32791667,0.996666667,204.5704167,221.6525,1008.628894
10-03-2022,35.00454545,98.64318182,7.192916667,15.73666667,22.92916667,45.30291667,2.932608696,0.765,21.74318182,30.78322917,74.9775,1.2725,236.0316667,216.8579167,1007.149028
11-03-2022,33.12619048,98.63809524,7.508333333,15.79666667,23.30416667,46.21416667,2.7675,0.675833333,20.40478261,30.77395833,75.57375,1.205833333,246.4725,217.4541667,1007.40566
12-03-2022,27.6775,77.85208333,7.205833333,15.63125,22.83458333,44.80625,2.765833333,0.742083333,20.99166667,30.8375,70.90375,0.95,236.3241667,218.65875,1007.74625
13-03-2022,28.2325,93.60666667,7.457083333,15.78708333,23.17291667,46.01875,3.025833333,0.5425,30.30458333,31.17565972,67.0275,1.183333333,245.06875,221.88,1007.408958
14-03-2022,30.25380952,82.36761905,7.212857143,15.74761905,22.96190476,44.49333333,2.804761905,0.728571429,30.3252381,31.87730159,64.17904762,0.758095238,220.08,237.9728571,1005.781076
15-03-2022,32.77875,92.17791667,9.605,15.74333333,25.30375,51.25166667,2.828333333,0.70625,43.54958333,31.18736111,65.87416667,0.652083333,229.2745833,220.4316667,1006.024549
16-03-2022,49.94666667,93.02916667,7.572083333,15.26333333,22.82666667,45.05,6.3025,0.700416667,41.64208333,30.73713689,61.8975,0.70875,146.7525,214.3675,999.844
17-03-2022,58.36545455,94.82318182,7.635652174,15.50347826,22.53304348,46.33434783,4.702173913,0.664782609,35.69,30.125125,60.36913043,0.590869565,112.4213043,226.8665217,999.61125
18-03-2022,40.39291667,68.59916667,7.444583333,15.77708333,23.21958333,45.52041667,5.835,0.66375,21.53833333,30.11292271,76.23541667,0.674166667,176.8070833,210.5216667,999.1371429
19-03-2022,32.93,55.3,7.165,15.9375,23.1,44.425,4.976666667,0.844166667,16.96833333,31.0284375,80.00708333,0.694166667,227.7095833,218.1758333,999.2783333
20-03-2022,35.19041667,67.62916667,8.084583333,15.7775,23.81583333,51.11666667,7.305833333,0.496666667,14.74875,30.53897917,78.93708333,0.654583333,115.79,198.8695833,999.2442857
21-03-2022,28.78375,88.11625,7.37,15.70041667,23.07041667,44.78958333,8.92125,0.584166667,22.71666667,30.24993659,76.24583333,0.61125,167.8858333,223.6179167,999.4609091
22-03-2022,31.68916667,75.50375,7.370869565,17.59125,21.15041667,47.82,8.96826087,0.442083333,32.17041667,31.02660714,68.77916667,0.802916667,196.60625,219.2445833,999.61
23-03-2022,38.9925,65.66875,7.399166667,15.75833333,23.15666667,45.79875,6.295833333,0.652916667,21.225,30.73601974,79.71916667,0.603333333,146.1229167,203.30125,999.686
24-03-2022,27.27458333,55.99541667,8.52,15.38666667,23.7475,49.25541667,5.632083333,0.625,17.27833333,30.41189583,77.89625,0.679583333,109.7279167,216.4491667,999.9766667
25-03-2022,22.30875,53.81958333,7.569583333,15.62583333,23.11583333,45.23458333,5.148333333,0.73125,37.41458333,30.27800694,77.50208333,0.700833333,114.7095833,212.8,1006.370483
26-03-2022,21.40458333,46.87208333,7.593333333,15.66458333,23.22708333,45.96875,4.069583333,0.560833333,37.03791667,30.76286806,76.15458333,0.686666667,103.7116667,209.8791667,1004.99006
27-03-2022,23.01166667,41.56708333,7.353333333,15.88666667,23.185,45.27375,4.045416667,0.512083333,36.42416667,31.52804167,75.88541667,0.78125,70.9875,211.8108333,1006.011688
28-03-2022,19.840625,35.929375,7.765416667,15.56083333,23.32708333,46.39833333,4.044583333,0.678333333,36.31875,30.80759659,76.93,0.905,86.68291667,216.76125,1004.408819
29-03-2022,16.77958333,37.04583333,7.079583333,15.81708333,22.90083333,44.54791667,3.880833333,0.5925,36.18458333,31.44638131,76.62083333,1.120416667,61.98458333,215.7766667,1006.118181
30-03-2022,19.36227273,34.22636364,7.469166667,15.91333333,23.38291667,46.12583333,3.238333333,0.62625,36.63208333,31.69894444,75.78458333,1.197083333,63.28333333,212.35125,1000
31-03-2022,26.12952381,36.18952381,7.385416667,15.77333333,23.15375,45.94583333,4.49,0.729166667,40.81625,31.69894444,73.45,1.193333333,59.14041667,207.6025,1000
01-04-2022,20.47809524,35.52166667,7.430416667,15.92125,22.11541667,45.51583333,4.42625,0.767083333,42.89083333,31.42419017,76.40916667,1.035416667,52.41583333,199.5808333,1006.5445
02-04-2022,16.21086957,31.51913043,9.426666667,16.06791667,25.495,55.89625,3.802,0.78625,41.41625,30.61154861,76.16833333,0.933333333,62.82041667,200.3508333,1006.862243
03-04-2022,18.05083333,32.27291667,26.98125,20.83333333,32.59416667,105.3504167,3.3,0.700416667,35.63625,31.06117503,75.79,0.64125,165.57,200.0425,1011.031548
04-04-2022,11.808,28.7645,10.74791667,16.76208333,23.72958333,59.105,5.26,0.6225,33.54916667,30.98980193,76.52,0.618333333,190.0066667,196.08625,996.5622527
05-04-2022,14.99083333,31.73708333,6.3775,16.68208333,22.10166667,41.48666667,8.744666667,0.70625,37.355,31.05217995,73.45791667,0.598333333,183.2179167,195.9691667,1008.722513
06-04-2022,14.13727273,39.69,7.280833333,15.76958333,22.97708333,46.00416667,6.50625,0.704166667,37.06791667,30.99887681,74.00916667,0.583333333,213.6645833,184.6025,1003.127986
07-04-2022,16.81416667,39.78666667,7.2825,15.88666667,23.17125,45.42541667,2.075714286,0.647916667,37.64625,31.2690157,73.69791667,0.579583333,217.2270833,178.6566667,1003.117103
08-04-2022,19.064,41.328,7.802083333,15.42708333,23.22833333,47.21083333,5.667857143,0.509583333,36.74458333,30.85752389,71.26666667,0.585833333,261.7895833,166.03125,1001.044266
09-04-2022,12.15142857,27.40238095,16.45666667,17.4,27.67291667,92.74083333,5.26625,0.870416667,36.89208333,29.87542982,74.24791667,0.7425,253.7166667,157.47375,1001.640778
10-04-2022,15.83473684,34.04,22.58956522,17.49416667,26.12375,110.5316667,10.00666667,0.682083333,36.36666667,29.70599232,73.66916667,1.042916667,273.55375,156.2704167,1002.019354
11-04-2022,12.52416667,24.57416667,12.41125,18.7925,22.54708333,66.65541667,9.995416667,0.517916667,36.95125,30.48449941,73.30125,0.973043478,287.3595833,175.9483333,999.7933333
12-04-2022,10.157,27.363,14.54291667,16.26833333,25.33583333,79.655,9.991666667,0.72,38.45625,30.74909091,74.55,0.754166667,269.0854167,150.6995833,999.606
13-04-2022,10.22875,31.60125,16.08166667,18.345,24.69875,92.06333333,10.00666667,0.802083333,35.54166667,31.18239956,76.1775,0.587083333,192.54875,159.1720833,999.7488889
14-04-2022,13.98956522,34.52478261,16.11875,17.89458333,25.37916667,91.35375,10.00347826,0.829565217,35.09043478,29.2046875,72.89130435,0.716521739,103.4986957,158.3234783,999.7225
15-04-2022,13.1325,31.47583333,14.99083333,16.55708333,24.89375,80.16916667,9.989583333,0.753333333,34.02291667,30.36762427,72.10875,0.865,71.695,164.7170833,999.2128571
16-04-2022,14.365,36.96416667,25.17791667,18.96791667,30.67666667,114.2116667,8.87173913,0.586666667,35.60958333,29.75170139,75.19291667,0.985,82.53166667,169.365,999.0335714
17-04-2022,18.24521739,34.65521739,99.38333333,24.94333333,71.9475,170.375,14.64191745,0.647916667,32.43333333,32.68734814,71.2575,0.740833333,157.9241667,168.3258333,999.5241667
18-04-2022,16.015,40.19791667,18.75375,16.99,25.94666667,104.935,64.85642857,0.872083333,22.12875,30.57775735,75.16875,0.6275,243.7641667,164.90875,1002.064965
19-04-2022,16.83875,37.33458333,6.52,15.59416667,20.9975,44.63166667,38.97434783,0.675833333,6.704347826,29.97887508,74.75333333,0.654166667,147.04125,164.6083333,1002.984549
20-04-2022,18.68217391,38.28434783,6.510833333,15.155,21.36416667,45.81125,30.57071429,0.845833333,1.045263158,30.70899487,75.89291667,0.638333333,166.8670833,165.1791667,999.9033333
21-04-2022,16.5655,34.34238095,10.83428571,16.19761905,21.92619048,60.7952381,13.3552381,0.437142857,1.161875,30.9334905,71.31285714,0.714285714,135.9519048,183.0328571,999.895
22-04-2022,11.55571429,35.66333333,9.805909091,16.29,20.13583333,56.02347826,9.328695652,0.912916667,19.10217391,30.78962179,71.74958333,0.57125,203.5995833,158.8095833,1001.298576
23-04-2022,11.22458333,28.33041667,6.769166667,15.42666667,21.3425,45.95625,9.99125,0.632083333,9.913333333,32.25982186,71.87541667,0.625416667,198.3583333,161.9758333,1001.852188
24-04-2022,13.19125,24.84666667,6.077391304,15.91541667,20.61125,44.19391304,10.00916667,0.95125,12.10666667,28.49577295,71.5575,0.5975,170.88125,154.2916667,1002.37684
25-04-2022,11.74791667,33.40083333,6.094166667,15.6725,20.69833333,43.80208333,9.989583333,0.795833333,9.352916667,29.328125,71.83333333,0.83375,95.3775,157.7616667,999.5533333
26-04-2022,44.17363636,43.50363636,6.311904762,15.82,22.04619048,46.2647619,9.985,0.565833333,10.57071429,29.04602838,73.00625,0.73,139.2816667,154.0745833,999.81
27-04-2022,17.05875,30.67416667,5.678333333,15.78833333,21.46375,43.9825,10.00083333,0.73625,1.666,28.96819444,75.10875,0.649166667,106.7554167,149.1833333,999.3766667
28-04-2022,24.373125,33.77909091,6.345,15.74833333,22.09291667,48.00083333,10.00291667,0.564166667,0.861666667,29.37165205,72.84375,0.774583333,109.7029167,151.0379167,999.9
29-04-2022,79.64214286,36.7985,6.476666667,15.65,21.9725,47.35208333,9.993333333,0.807916667,1.894444444,29.12277778,76.05666667,0.83,81.20541667,151.6758333,999.67
30-04-2022,13.25125,47.53818182,6.325416667,15.25958333,21.54791667,44.99291667,9.98875,1.213333333,1.37,28.84665205,75.70916667,0.990416667,120.215,152.19875,998.8492308
01-05-2022,9.314285714,41.1475,6.877916667,15.26125,21.81958333,45.67208333,10.00083333,0.670833333,0.03,29.03423611,77.63875,1.012916667,103.6129167,153.21875,998.734
02-05-2022,53.16761905,67.05869565,6.480416667,15.14916667,21.62916667,46.525,8.805,1.0825,139.09,31.78964199,64.91041667,0.523333333,200.7129167,149.2116667,998.716
03-05-2022,36.23,57.32157895,6.679166667,15.0975,21.77666667,47.54708333,12.51357143,0.895416667,172.58,28.29845345,76.90541667,0.772916667,132.5770833,144.2295833,999.4042857
04-05-2022,34.03571429,48.5347619,6.694583333,15.11666667,21.81125,47.6475,12.3675,0.699583333,153.99,28.47323153,75.23875,0.79625,138.43875,131.5558333,999.7428571
05-05-2022,43.25166667,63.32333333,6.448333333,15.14791667,21.59208333,46.35708333,9.679166667,0.606666667,157.9208333,30.84207516,70.6075,0.590416667,260.6504167,152.2175,999.31625
06-05-2022,29.08521739,54.9926087,6.629565217,15.16043478,21.78913043,47.46652174,13.51913043,1.106521739,61.01086957,28.92185537,74.77086957,0.755217391,175.6147826,161.4343478,998.9922222
07-05-2022,47.17583333,65.57375,6.682916667,15.11666667,21.80125,47.42458333,22.57291667,0.62375,61.21041667,32.24320048,71.41916667,0.590833333,206.97625,145.2429167,999.0005263
08-05-2022,51.59590909,73.69090909,6.701666667,15.11958333,21.82041667,47.53416667,15.89083333,0.7075,4.373333333,30.4174183,75.88041667,0.719583333,175.5641667,132.6295833,997.8966667
09-05-2022,50.71434783,90.52869565,6.672083333,15.14833333,21.82083333,47.58083333,15.36125,0.674583333,10.52583333,31.66612847,71.53375,0.748333333,191.7608333,60.82875,996.0866667
10-05-2022,34.68538462,68.78647059,6.223684211,15.4745,19.6465,42.011,11.48153846,1.039,16.39388889,31.76021495,85.9685,1.366,135.1255,49.184,995.0215
11-05-2022,35.61,45.88833333,6.63375,15.07958333,21.71333333,47.14416667,20.31666667,0.770833333,29.74772727,28.92652778,69.06916667,1.672916667,106.2466667,150.1929167,996.25375
12-05-2022,26.79347826,40.94826087,6.334583333,15.18041667,21.34333333,45.64458333,6.873445048,0.914166667,14.77208333,29.15540936,73.9175,2.125,91.51333333,147.1045833,997.9879167
13-05-2022,18.41318182,37.77,6.42875,15.11666667,21.20583333,45.92958333,10.470625,0.804583333,49.57541667,29.55168677,79.46833333,1.292916667,109.5016667,169.4054167,997.89
14-05-2022,32.8673913,55.37125,6.552916667,15.16416667,21.38791667,46.64583333,28.52956522,0.65,69.1295,30.15611952,73.40083333,1.36375,109.3666667,178.3425,998.0641667
15-05-2022,26.6,36.48529412,13.76,20.095,17.865,73.49,53.20533333,2.308235294,52.141,31.91069646,74.72352941,1.299411765,145.8864706,248.4629412,998.3117647
16-05-2022,52.18695954,44.26866667,9.902867063,29.01472718,0,39.63986607,11.38933333,1.265333333,100.622,31.22276993,76.316,1.040666667,197.14,250.5246667,998.4707143
17-05-2022,18.46928571,45.18625,6.513846154,14.89846154,19.535,45.28384615,14.50791667,0.714166667,78.33083333,28.3465625,80.2525,1.042916667,147.9591667,156.3908333,998.3216667
18-05-2022,14.11083333,102.54375,6.6675,15.04916667,21.71583333,46.93166667,8.995416667,0.717916667,73.25083333,30.10463889,79.225,1.247083333,84.01708333,191.5295833,998.5975
